"","author","status","id"
"34","BorisJohnson","Earlier I paid tribute to HRH The Prince Philip, Duke of Edinburgh in the @HouseOfCommons.
 
The Duke's unstinting service gives us all a model of selflessness and of putting others before ourselves. https://t.co/Tq9lH2up3I",34
"35","BorisJohnson","I spent many happy hours sparring with her on Question Time. She will be much missed. (2/2)",35
"36","BorisJohnson","Sad to hear about Baroness Shirley Williams, a kind and thoughtful member of the once radical centre left. Even when we disagreed - as we often did - she had the gift of sounding so completely reasonable at all times. (1/2)",36
"37","BorisJohnson","Yesterday was a record-breaking day with 475,230 people receiving second doses. More than 7 million have now been fully vaccinated. 

Thanks to everyone involved in this extraordinary effort which has already saved thousands of lives.",37
"38","BorisJohnson","Today is ten years since the death of my friend Sir Simon Milton, an outstanding servant of London and of his country. We miss you, Simon.",38
"39","BorisJohnson","My statement on the death of HRH The Prince Philip, Duke of Edinburgh. https://t.co/cjlSsERXPV",39
"40","BorisJohnson","On the death of HRH The Prince Philip, Duke of Edinburgh. https://t.co/rZlbY1matF",40
"41","BorisJohnson","The science is clear: vaccines save lives. 
 
New @PHE_UK analysis shows COVID-19 vaccinations have prevented over 10,000 deaths.
 
It’s important that you book your jab when the NHS contacts you.

➡️ https://t.co/YxlPKeUKn5 https://t.co/R7SQ3xIp1R",41
"42","BorisJohnson","Last night in Truro I saw the outstanding work of doctors and nurses at the Royal Cornwall Hospital. Thank you to the entire team and the whole of our NHS 👇 https://t.co/bKGVSWeaaJ",42
"43","BorisJohnson","6 million people have now had their second jab.

Yesterday over 400,000 second doses were given.

A huge thank you to everyone helping to make this happen – it is an incredible achievement that has already saved thousands of lives.",43
"44","BorisJohnson","It was fantastic to meet with businesses in Cornwall to hear how they are preparing to reopen and welcome customers back on Monday.

The next stage in our roadmap is a significant step towards reclaiming the freedoms COVID has taken from us. https://t.co/s7Ry99TIsX",44
"45","BorisJohnson","Sad to hear about the loss of Peter Ainsworth - a delightful colleague &amp; passionate about his causes, especially the environment. We shared a corridor &amp; often found ourselves charging late for the division. He has been taken far too young. My thoughts with Claire &amp; their family.",45
"46","BorisJohnson","I am deeply concerned by the scenes of violence in Northern Ireland, especially attacks on PSNI who are protecting the public and businesses, attacks on a bus driver and the assault of a journalist. The way to resolve differences is through dialogue, not violence or criminality.",46
"47","BorisJohnson","We set out our roadmap and we’re sticking to it.
 
Thanks to your efforts and the vaccine rollout, from Monday we will move to Step Two of our roadmap – reopening shops, gyms, hairdressers and outdoor hospitality of all kinds. https://t.co/LJojqMpAuY",47
"48","BorisJohnson","We will follow today’s updated advice, which should allow people of all ages to continue to have full confidence in vaccines, helping us save lives and cautiously return towards normality. 3/3",48
"49","BorisJohnson","As the regulators have said, this vaccine is safe, effective and has already saved thousands of lives – and the vast majority of people should continue to take it when offered. 2/3",49
"50","BorisJohnson","Thank you @MHRAgovuk and JCVI for your important work looking at the AstraZeneca vaccine, which has updated on the potential for extremely rare side effects. 1/3",50
"51","BorisJohnson","The Moderna vaccine rollout begins today, starting with Carmarthen in Wales. We have ordered 17 million doses that will be going into arms across the UK in the coming weeks.

Please get your jab as soon as you are contacted.

https://t.co/i9fAMASKD3",51
"52","BorisJohnson",".@AstraZeneca has been at the heart of our fight against coronavirus, and they are also playing a big part in our efforts to #BuildBackBetter from the pandemic and make the UK a science superpower. https://t.co/3TtBKzv80x",52
"53","BorisJohnson","Very promising news that the @ValnevaSE vaccine shows a strong immune response and will progress to Phase 3 trials.

If it is successful and meets our robust safety standards this vaccine will be manufactured in Scotland, providing a crucial weapon in our battle against COVID. https://t.co/Xr79bIGsmS",53
"54","BorisJohnson","I spoke to President Zelenskyy @ZelenskyyUa this evening regarding our concerns about destabilising Russian military activity on Ukraine’s border.

I reiterated the UK’s unwavering support for Ukraine’s sovereignty and territorial integrity.",54
"55","BorisJohnson","We set out our roadmap and we’re sticking to it.

It is by being cautious, by monitoring the data at every stage, and by following the rules – remembering hands, face, space and fresh air – that we hope together to make this roadmap to freedom irreversible. https://t.co/EQM74Muu3p",55
"56","BorisJohnson","WATCH LIVE: An update on COVID-19 (5 April 2021) https://t.co/7MwrBSklfm",56
"57","BorisJohnson","Always full of wise advice and good humour, she was much loved on all sides of the House of Commons and will be sorely missed. My sincere condolences to her family and friends. (2/2)",57
"58","BorisJohnson","I’m very sad to hear the news of the death of Dame Cheryl Gillan. 

She was a great servant to the people of Chesham and Amersham, to the Conservative Party and to the country as Secretary of State for Wales. (1/2)",58
"59","BorisJohnson","The arrival of Easter brings with it new hope.

And, this year more than ever, it brings the promise of brighter days ahead for us all.

So stay safe, keep following the rules, and have a very happy Easter. https://t.co/BQs4oCn57N",59
"60","BorisJohnson","We've reached another milestone in our vaccination programme with over 5 million people now having had their second jab.
 
I urge everyone to take up their second dose as soon as they are offered it.",60
"61","BorisJohnson","This Easter weekend, please remember that outdoors is generally much safer than indoors.
 
If you’re in England and seeing friends and family outside, keep to groups of up to six people or two households.
 
Let’s keep each other safe as we continue with the vaccination rollout.",61
"62","BorisJohnson","I answered some of your questions about our cautious, irreversible roadmap to freedom.

Keep sending your questions in to https://t.co/FBynuacYFP https://t.co/d5Dlb4PhVz",62
"63","BorisJohnson","Great to meet @BandQ staff in Middlesbrough to thank them for their great work during the pandemic.

Today we increased the #NationalLivingWage to £8.91 an hour which will provide a welcome boost to families around the UK as we #BuildBackBetter and fairer from the pandemic. https://t.co/TVGAwulUg5",63
"64","BorisJohnson","Our Plan for Growth sets our path to invest in infrastructure, skills and innovation so we can level up opportunity and prosperity across the country.

The government's open letter to businesses sets out how we can #BuildBackBetter https://t.co/ZVvFL3pztp",64
"65","BorisJohnson","No government can address the threat of pandemics alone – we must come together. 

My joint article with other world leaders: https://t.co/RjZsuPVORj",65
"66","BorisJohnson","The vaccine is our best route out of this pandemic and we must all do our part by taking the vaccine when it is offered to us.

Thank you Sir @LennyHenry for speaking up on this important issue. https://t.co/2FTnA8wUOL",66
"67","BorisJohnson","WATCH LIVE: an update on COVID-19 (29 March 2021) https://t.co/1sKp0mNg85",67
"68","BorisJohnson","Today marks the next stage of our roadmap to cautiously ease restrictions in England.

As vaccines are being rolled out it’s vital that we don’t overdo it and risk all the progress we’ve made. 

Please follow the new rules carefully. https://t.co/9r7aV9hYb7",68
"69","BorisJohnson","Ahead of outdoor organised sport returning across England tomorrow, good luck to everyone getting back to the sports you love – from football to netball and much more.
 
After a difficult few months, it’s great that so many will be able to get back out there. https://t.co/dPED46vpPp",69
